Date,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-07-26 08:00:00,117304.47,118217.45,117304.46,117776.11,1549.30958,182516444.8435796,153476,858.09409,101082519.2500032
2025-07-26 12:00:00,117776.1,118220.0,117772.13,118130.1,1303.59734,153859195.9572898,155222,596.95661,70460231.211729
2025-07-26 16:00:00,118130.1,118297.35,117941.96,118232.11,1051.39337,124173515.1999287,110349,556.03714,65676327.5409961
2025-07-26 20:00:00,118232.11,118276.66,117883.86,117919.99,858.64895,101349587.450951,108749,343.44877,40541358.6481987
2025-07-27 00:00:00,117919.99,118358.18,117825.5,118182.83,1007.50696,119027557.0859303,112389,575.64347,68009812.95415
2025-07-27 04:00:00,118182.83,118438.83,118066.74,118095.95,808.21213,95561585.8691134,104278,390.89967,46221367.1260286
2025-07-27 08:00:00,118095.95,118292.86,117859.98,118072.71,835.9696,98708410.1613655,120595,388.89313,45917656.8230555
2025-07-27 12:00:00,118072.71,118588.0,117890.0,118585.74,1586.05165,187626934.0333028,182821,894.22688,105793419.6216972
2025-07-27 16:00:00,118585.75,119540.01,118585.75,118960.0,3418.37234,407360766.6908695,354026,2213.46507,263777127.9271977
2025-07-27 20:00:00,118960.01,119766.65,118713.74,119415.55,1672.19651,199598288.32021672,220971,775.17536,92542176.7985987
2025-07-28 00:00:00,119415.56,119800.0,118960.5,119287.99,1824.53168,217797781.98470393,289119,835.00751,99693864.725613
2025-07-28 04:00:00,119287.99,119701.07,118774.31,118900.0,2360.0622,281402696.3843602,233844,1325.92556,158105257.645123
2025-07-28 08:00:00,118900.01,119102.69,118475.47,118827.49,2060.1822,244734013.2613242,212608,1199.17319,142442771.8153839
2025-07-28 12:00:00,118827.49,119093.68,117895.73,118174.9,3792.61028,449216545.14388686,519386,1973.63361,233868099.6459184
2025-07-28 16:00:00,118174.89,118376.61,117427.5,118068.73,2575.55527,303595815.915483,339420,1162.08076,137000465.18141
2025-07-28 20:00:00,118068.73,118350.01,117500.09,118062.32,1348.80591,159135383.2067598,230400,729.09711,86017895.2099605
2025-07-29 00:00:00,118062.32,118800.0,117450.0,118764.85,2242.87768,264931696.5073892,338133,1064.89944,125786428.9193172
2025-07-29 04:00:00,118764.85,119273.36,118416.66,118882.37,2579.99271,306618607.4829511,246815,1366.61947,162425984.9377551
2025-07-29 08:00:00,118882.37,119051.0,118160.87,118592.38,1962.95351,232866007.20018232,254130,1149.33314,136328523.1673552
2025-07-29 12:00:00,118592.38,119080.81,117272.0,117400.01,4173.95638,493253408.4897956,537143,2136.27132,252608273.2577904
2025-07-29 16:00:00,117400.02,118057.05,116950.75,117525.29,2441.06334,286940381.0064748,348254,1310.73632,154102943.1250035
2025-07-29 20:00:00,117525.28,118000.0,117094.96,117950.76,1737.09083,204071982.99885327,232219,961.07767,112910646.667366
2025-07-30 00:00:00,117950.75,118250.0,117412.53,118161.87,1226.38506,144627350.1925008,204212,577.29595,68094460.432638
2025-07-30 04:00:00,118161.86,118412.11,117667.33,118123.01,1232.08963,145539686.0383905,163007,584.57123,69050731.0353375
2025-07-30 08:00:00,118123.0,118481.81,117358.84,117579.99,2228.01795,263126870.0067514,269076,1355.22594,160120274.3501797
2025-07-30 12:00:00,117579.99,118792.0,117358.84,118000.01,3794.91612,447809337.5560383,531501,1801.39831,212515821.491374
2025-07-30 16:00:00,118000.01,118037.18,115796.23,116916.73,5721.15052,669195849.8357475,634913,2682.71622,313703390.3340268
2025-07-30 20:00:00,116916.73,117908.4,116880.64,117840.3,1384.17703,162397784.5935574,194660,802.40669,94148212.5900966
2025-07-31 00:00:00,117840.29,118600.0,117781.87,118466.14,2307.57332,273029834.8762592,229192,1101.81254,130368526.6029783
2025-07-31 04:00:00,118466.15,118922.45,118287.63,118665.97,1907.96734,226269774.1707044,169906,993.07835,117797073.4401582
2025-07-31 08:00:00,118665.98,118770.07,118278.91,118371.25,1290.20631,152936940.9035217,133783,621.2893,73645567.1169699
2025-07-31 12:00:00,118371.25,118702.1,117807.35,118306.18,3457.28095,408607161.8415131,436764,1809.5793,213890978.3244458
2025-07-31 16:00:00,118306.18,118879.14,116763.43,116785.79,4228.22018,497971783.6137045,468442,2111.35785,248807747.2666413
2025-07-31 20:00:00,116785.78,116990.04,115500.0,115764.08,3818.7592,444054521.29653966,421445,1676.39882,195009469.31734887
2025-08-01 00:00:00,115764.07,116052.0,114313.13,115648.03,5440.32571,627188117.3229619,650051,2522.97319,290948735.0104086
2025-08-01 04:00:00,115648.03,115916.43,114633.18,115081.77,2952.50734,340199535.7987066,411115,1345.40877,154984984.8384286
2025-08-01 08:00:00,115081.76,115340.0,114116.0,115305.65,3338.52917,383326052.9600484,463102,1553.96108,178459723.0896099
2025-08-01 12:00:00,115305.64,116019.3,113988.47,115357.82,5325.96286,613558143.1486454,1084066,2524.8382,291034014.4216778
2025-08-01 16:00:00,115357.82,115695.52,113221.93,113328.68,4135.47502,472437940.42125183,924319,1966.1562,224637144.4657731
