buy_t,sell_t,total_trades,win_rate,total_return,avg_return,sharpe,max_dd
-1.75,-3.0,245,0.5224489795918368,0.04509186816960409,0.00018404844150858812,0.4424622479930368,-0.09430090470940078
-1.75,-2.75,245,0.5224489795918368,0.04509186816960409,0.00018404844150858812,0.4424622479930368,-0.09430090470940078
1.0,-2.5,52,0.4807692307692308,0.03169014113018748,0.0006094257909651438,1.3420338924445763,-0.04072455802784736
1.0,-2.25,52,0.4807692307692308,0.03169014113018748,0.0006094257909651438,1.3420338924445763,-0.04072455802784736
1.0,-1.0,49,0.4489795918367347,0.02951492219711575,0.000602345350961546,1.2049787148027955,-0.05104338416403997
-1.75,-2.5,244,0.5204918032786885,0.028071386877376942,0.00011504666753023337,0.2757723230164823,-0.09430090470940045
1.0,-3.0,52,0.5,0.026027183880939646,0.0005005227669411471,1.116980941703402,-0.04941319188409887
1.0,-2.75,52,0.5,0.026027183880939646,0.0005005227669411471,1.116980941703402,-0.04941319188409887
1.0,-1.5,51,0.47058823529411764,0.02501627217251379,0.0004905151406375253,1.0491151103086473,-0.04270153714447167
1.0,-1.25,51,0.45098039215686275,0.017307161219796245,0.00033935610234894596,0.7281807852684806,-0.04270153714447178
1.0,-2.0,51,0.49019607843137253,0.01565304544620822,0.00030692245972957293,0.6743609240207907,-0.04823579337162409
1.0,-1.75,51,0.49019607843137253,0.01565304544620822,0.00030692245972957293,0.6743609240207907,-0.04823579337162409
2.75,-1.5,3,0.6666666666666666,0.014778321647261125,0.004926107215753708,10.972386483900038,0.0
2.75,-1.25,3,0.6666666666666666,0.014778321647261125,0.004926107215753708,10.972386483900038,0.0
2.75,-1.0,3,0.6666666666666666,0.014778321647261125,0.004926107215753708,10.972386483900038,0.0
2.75,-0.75,3,0.6666666666666666,0.014778321647261125,0.004926107215753708,10.972386483900038,0.0
2.75,-0.5,3,0.6666666666666666,0.014778321647261125,0.004926107215753708,10.972386483900038,0.0
-1.75,-2.25,242,0.5165289256198347,0.01302325007738583,5.381508296440426e-05,0.14025624959687713,-0.09430090470940056
2.75,-0.25,3,0.6666666666666666,0.012223745340946147,0.0040745817803153825,10.946903619985626,0.0
2.75,0.0,3,0.6666666666666666,0.012223745340946147,0.0040745817803153825,10.946903619985626,0.0
2.75,0.25,3,0.6666666666666666,0.011537155113698575,0.0038457183712328584,17.86566534904807,0.0
1.0,-0.75,49,0.4489795918367347,0.009150724256177169,0.00018674947461586058,0.3505474724165066,-0.08183880634224983
2.5,0.25,6,0.5,0.0064058374209591505,0.0010676395701598583,3.763832450023012,-0.008066167400880953
2.75,-2.0,3,0.6666666666666666,0.003421406205302859,0.001140468735100953,10.12183534110623,0.0
