Date,open,high,low,close,buy_score,sell_score,buy_score_z,sell_score_z,signal_score
2025-08-01 08:00:00,115081.76,115340.0,114116.0,115305.65,-1.1853828878219015,1.1622643502948533,-1.1853828878219015,1.1622643502948533,-2.347647238116755
2025-08-01 12:00:00,115305.64,116019.3,113988.47,115357.82,-2.071498159712788,1.3137074098222172,-2.071498159712788,1.3137074098222172,-3.385205569535005
2025-08-01 16:00:00,115357.82,115695.52,113221.93,113328.68,-2.5907118730433596,1.8289644215636025,-2.5907118730433596,1.8289644215636025,-4.419676294606962
2025-08-01 20:00:00,113328.67,114094.08,112722.58,113297.93,-2.4886084208884762,2.2775299860381057,-2.4886084208884762,2.2775299860381057,-4.766138406926582
2025-08-02 00:00:00,113297.92,113921.94,113198.63,113909.86,-0.6781489815840639,0.23274599808916102,-0.6781489815840639,0.23274599808916102,-0.9108949796732249
2025-08-02 04:00:00,113909.87,114063.49,113469.43,113982.49,0.0022863134212511116,-0.4683970275074736,0.0022863134212511116,-0.4683970275074736,0.4706833409287247
2025-08-02 08:00:00,113982.49,114040.29,113425.58,113787.12,0.8727302228486241,-1.0869450666913254,0.8727302228486241,-1.0869450666913254,1.9596752895399496
2025-08-02 12:00:00,113787.11,113787.12,112802.31,112840.71,-0.3144597861108133,-0.014786724207941367,-0.3144597861108133,-0.014786724207941367,-0.29967306190287196
2025-08-02 16:00:00,112840.7,113420.0,112003.0,112229.42,-1.4028296974519112,1.453282721263704,-1.4028296974519112,1.453282721263704,-2.8561124187156155
2025-08-02 20:00:00,112229.42,113058.82,112069.86,112546.35,-2.0365703665890487,1.899641212502258,-2.0365703665890487,1.899641212502258,-3.9362115790913066
2025-08-03 00:00:00,112546.35,113740.69,111920.0,113604.2,-2.7396874296899854,2.324307326793187,-2.7396874296899854,2.324307326793187,-5.063994756483172
2025-08-03 04:00:00,113604.2,113720.16,113341.06,113700.0,0.15931939957914362,-0.7262840762429509,0.15931939957914362,-0.7262840762429509,0.8856034758220945
2025-08-03 08:00:00,113700.0,114260.31,113551.0,113862.18,-2.0158763590777498,1.8889211424990697,-2.0158763590777498,1.8889211424990697,-3.9047975015768195
2025-08-03 12:00:00,113862.19,114098.45,113579.69,113959.06,-1.1351716971884458,0.857461701957526,-1.1351716971884458,0.857461701957526,-1.992633399145972
2025-08-03 16:00:00,113959.06,114799.97,113775.55,114313.19,-1.9070086492136846,1.6264248761992817,-1.9070086492136846,1.6264248761992817,-3.533433525412966
2025-08-03 20:00:00,114313.19,114612.24,114066.56,114208.8,-0.8368088169017006,0.6464659720716144,-0.8368088169017006,0.6464659720716144,-1.4832747889733149
2025-08-04 00:00:00,114208.81,115000.0,114107.6,114570.61,-1.0795027900776157,1.3021122308609374,-1.0795027900776157,1.3021122308609374,-2.381615020938553
2025-08-04 04:00:00,114570.61,114778.5,114148.58,114652.97,0.7978810184311036,-0.7699900786351065,0.7978810184311036,-0.7699900786351065,1.56787109706621
2025-08-04 08:00:00,114652.98,114750.0,114217.97,114493.09,1.0803384966861986,-0.6383172680556162,1.0803384966861986,-0.6383172680556162,1.7186557647418148
2025-08-04 12:00:00,114493.09,115466.0,114121.0,114826.0,-0.49119590083210607,0.253430309543847,-0.49119590083210607,0.253430309543847,-0.7446262103759531
