Date,open,high,low,close,open_binned,high_binned,low_binned,close_binned,volume_binned,quote_asset_volume_binned,num_trades_binned,taker_buy_base_asset_volume_binned,taker_buy_quote_asset_volume_binned,MA_20_binned,EMA_20_binned,BBL_20_2.0_binned,BBM_20_2.0_binned,BBU_20_2.0_binned,BBB_20_2.0_binned,BBP_20_2.0_binned,RSI_14_binned,MACD_12_26_9_binned,MACDs_12_26_9_binned,MACDh_12_26_9_binned,ATR_14_binned,Return_binned,High_Low_binned,Open_Close_binned,UpperShadow_binned,LowerShadow_binned,Hour_binned,Weekday_binned,Volume_MA20_binned,Volume_Change_binned,VWAP_binned,VWAP_20_binned
2025-07-26 08:00:00,117304.47,118217.45,117304.46,117776.11,0,0,0,0,2,2,2,3,3,,0,,,,,,,0,0,0,,,3,4,4,0,1,5,,,0,
2025-07-26 12:00:00,117776.1,118220.0,117772.13,118130.1,0,0,0,1,2,2,2,2,2,,0,,,,,,,1,0,2,,3.0,1,3,1,0,2,5,,1.0,0,
2025-07-26 16:00:00,118130.1,118297.35,117941.96,118232.11,2,1,2,2,1,1,0,1,1,,1,,,,,,,2,2,2,,2.0,0,2,0,3,3,5,,0.0,0,
2025-07-26 20:00:00,118232.11,118276.66,117883.86,117919.99,3,0,1,0,0,0,0,0,0,,0,,,,,,,0,0,0,,0.0,0,0,0,1,4,5,,1.0,1,
2025-07-27 00:00:00,117919.99,118358.18,117825.5,118182.83,0,2,0,2,1,1,1,1,1,,1,,,,,,,2,1,1,,2.0,2,2,1,2,0,6,,3.0,1,
2025-07-27 04:00:00,118182.83,118438.83,118066.74,118095.95,2,2,3,1,0,0,0,0,0,,2,,,,,,,1,2,1,,1.0,0,1,2,1,0,6,,0.0,2,
2025-07-27 08:00:00,118095.95,118292.86,117859.98,118072.71,1,1,1,0,0,0,1,0,0,,2,,,,,,,0,1,0,,1.0,1,1,2,4,1,6,,2.0,2,
2025-07-27 12:00:00,118072.71,118588.0,117890.0,118585.74,1,3,2,3,3,3,3,4,4,,3,,,,,,,3,3,3,,4.0,2,4,0,3,2,6,,4.0,3,
2025-07-27 16:00:00,118585.75,119540.01,118585.75,118960.0,3,3,3,4,4,4,4,4,4,,3,,,,,,,3,3,3,,3.0,4,3,4,0,3,6,,4.0,3,
2025-07-27 20:00:00,118960.01,119766.65,118713.74,119415.55,4,4,4,4,3,3,3,2,2,,4,,,,,,,4,4,4,,4.0,4,4,3,4,4,6,,0.0,4,
2025-07-28 00:00:00,119415.56,119800.0,118960.5,119287.99,4,4,4,4,4,4,4,3,3,,4,,,,,,,4,4,4,,0.0,3,0,3,4,0,0,,2.0,4,
2025-07-28 04:00:00,119287.99,119701.07,118774.31,118900.0,4,4,4,3,4,4,4,4,4,,4,,,,,,,4,4,4,,0.0,4,0,4,2,0,0,,3.0,4,
2025-07-28 08:00:00,118900.01,119102.69,118475.47,118827.49,4,4,4,4,2,2,0,3,3,,4,,,,,,,4,4,4,,1.0,0,1,2,1,1,0,,2.0,4,
2025-07-28 12:00:00,118827.49,119093.68,117895.73,118174.9,4,4,3,3,4,4,4,4,4,,4,,,,,,3.0,4,4,3,0.0,0.0,4,0,3,0,2,0,,4.0,4,
2025-07-28 16:00:00,118174.89,118376.61,117427.5,118068.73,2,1,1,1,3,3,3,2,2,,3,,,,,,2.0,3,4,2,0.0,1.0,3,1,1,4,3,0,,0.0,4,
2025-07-28 20:00:00,118068.73,118350.01,117500.09,118062.32,1,1,2,1,0,0,1,0,0,,2,,,,,,2.0,2,3,1,0.0,2.0,1,2,3,4,4,0,,0.0,2,
2025-07-29 00:00:00,118062.32,118800.0,117450.0,118764.85,1,2,2,4,2,2,3,1,1,,2,,,,,,4.0,2,3,3,1.0,4.0,4,4,0,4,0,3,,4.0,2,
2025-07-29 04:00:00,118764.85,119273.36,118416.66,118882.37,3,4,4,4,4,4,2,4,4,,3,,,,,,4.0,4,2,4,1.0,3.0,1,3,4,0,0,3,,3.0,3,
2025-07-29 08:00:00,118882.37,119051.0,118160.87,118592.38,4,3,4,3,1,1,2,2,2,,4,,,,,,3.0,3,2,4,2.0,0.0,2,0,1,2,1,3,,2.0,3,
2025-07-29 12:00:00,118592.38,119080.81,117272.0,117400.01,3,3,0,0,4,4,4,4,4,4.0,1,4.0,4.0,0.0,0.0,0.0,0.0,1,1,0,2.0,0.0,4,0,4,0,2,3,0.0,4.0,1,4.0
2025-07-29 16:00:00,117400.02,118057.05,116950.75,117525.29,0,0,0,0,3,3,4,3,3,3.0,1,3.0,3.0,2.0,1.0,1.0,1.0,1,1,0,3.0,3.0,3,3,4,2,3,3,1.0,0.0,1,3.0
2025-07-29 20:00:00,117525.28,118000.0,117094.96,117950.76,0,0,0,0,1,1,1,1,1,1.0,0,1.0,1.0,4.0,2.0,2.0,1.0,0,0,0,4.0,4.0,2,4,0,1,4,3,2.0,1.0,0,2.0
2025-07-30 00:00:00,117950.75,118250.0,117412.53,118161.87,0,0,1,2,0,0,0,0,0,0.0,0,0.0,0.0,3.0,4.0,4.0,0.0,0,0,1,4.0,4.0,0,4,0,3,0,6,3.0,1.0,0,1.0
2025-07-30 04:00:00,118161.86,118412.11,117667.33,118123.01,2,2,3,2,0,0,0,0,0,2.0,0,2.0,2.0,1.0,3.0,3.0,0.0,0,0,2,3.0,2.0,0,2,2,3,0,6,4.0,3.0,0,0.0
2025-07-30 08:00:00,118123.0,118481.81,117358.84,117579.99,3,2,2,2,1,1,1,2,2,4.0,4,4.0,4.0,2.0,2.0,2.0,0.0,2,4,2,0.0,1.0,2,1,4,2,1,0,0.0,4.0,4,4.0
2025-07-30 12:00:00,117579.99,118792.0,117358.84,118000.01,1,4,2,3,3,3,4,3,3,4.0,4,4.0,4.0,2.0,3.0,3.0,2.0,3,4,2,0.0,4.0,3,4,4,2,2,0,0.0,4.0,4,4.0
2025-07-30 16:00:00,118000.01,118037.18,115796.23,116916.73,2,1,1,1,4,4,4,4,4,4.0,2,2.0,4.0,4.0,1.0,1.0,0.0,1,2,1,4.0,0.0,4,0,0,4,3,0,3.0,3.0,2,4.0
2025-07-30 20:00:00,116916.73,117908.4,116880.64,117840.3,1,1,2,2,0,0,0,0,0,3.0,1,1.0,3.0,3.0,2.0,2.0,4.0,1,1,1,3.0,4.0,1,4,0,0,4,0,2.0,0.0,1,3.0
2025-07-31 00:00:00,117840.29,118600.0,117781.87,118466.14,2,2,3,4,1,1,1,1,1,3.0,2,2.0,3.0,3.0,4.0,4.0,4.0,2,1,3,2.0,4.0,0,4,1,0,0,3,1.0,3.0,2,3.0
2025-07-31 04:00:00,118466.15,118922.45,118287.63,118665.97,4,4,4,4,0,0,0,0,0,2.0,3,3.0,2.0,1.0,4.0,4.0,4.0,4,2,4,1.0,3.0,0,3,2,1,0,3,1.0,1.0,3,2.0
2025-07-31 08:00:00,118665.98,118770.07,118278.91,118371.25,4,3,4,4,0,0,0,0,0,2.0,3,3.0,2.0,0.0,4.0,4.0,3.0,4,3,4,0.0,2.0,0,2,0,1,1,3,0.0,0.0,3,2.0
2025-07-31 12:00:00,118371.25,118702.1,117807.35,118306.18,4,3,4,3,2,2,3,3,3,1.0,4,4.0,1.0,0.0,3.0,3.0,3.0,4,4,4,1.0,3.0,1,3,3,4,2,3,2.0,4.0,4,1.0
2025-07-31 16:00:00,118306.18,118879.14,116763.43,116785.79,3,4,1,1,4,4,3,4,4,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,3,3,3,3.0,0.0,4,0,4,0,3,3,3.0,2.0,1,1.0
2025-07-31 20:00:00,116785.78,116990.04,115500.0,115764.08,0,0,0,0,3,3,2,2,2,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0,0,0,2.0,0.0,3,0,1,3,4,3,4.0,1.0,0,0.0
2025-08-01 00:00:00,115764.07,116052.0,114313.13,115648.03,0,0,0,0,4,4,4,4,4,0.0,0,0.0,0.0,4.0,0.0,0.0,1.0,0,0,0,4.0,2.0,4,2,3,4,0,6,4.0,2.0,0,0.0
2025-08-01 04:00:00,115648.03,115916.43,114633.18,115081.77,0,0,0,0,2,2,2,1,1,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,4.0,1.0,2,1,2,3,0,6,4.0,0.0,0,0.0
2025-08-01 08:00:00,115081.76,115340.0,114116.0,115305.65,4,4,4,4,3,3,3,3,3,4.0,4,4.0,4.0,1.0,0.0,0.0,3.0,4,4,2,0.0,3.0,2,3,1,4,1,0,0.0,3.0,4,4.0
2025-08-01 12:00:00,115305.64,116019.3,113988.47,115357.82,4,4,4,4,4,4,4,4,4,4.0,4,4.0,4.0,0.0,1.0,1.0,4.0,4,4,2,2.0,2.0,4,2,4,4,2,0,1.0,4.0,4,4.0
2025-08-01 16:00:00,115357.82,115695.52,113221.93,113328.68,4,4,2,1,4,4,4,4,4,4.0,4,4.0,4.0,3.0,0.0,0.0,2.0,4,4,0,4.0,0.0,4,0,3,0,3,0,4.0,1.0,4,4.0
2025-08-01 20:00:00,113328.67,114094.08,112722.58,113297.93,1,3,1,1,3,3,3,4,4,3.0,3,3.0,3.0,4.0,0.0,0.0,1.0,3,3,0,4.0,1.0,3,1,4,3,4,0,4.0,2.0,3,3.0
2025-08-02 00:00:00,113297.92,113921.94,113198.63,113909.86,1,2,2,3,0,0,1,0,0,3.0,3,3.0,3.0,4.0,2.0,2.0,4.0,3,3,0,2.0,4.0,1,4,0,0,0,3,3.0,0.0,3,3.0
