open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-07-26 08:00:00,117304.47000000,118217.45000000,117304.46000000,117776.11000000,1549.30958000,1753531199999,182516444.84357960,153476,858.09409000,101082519.25000320,0
2025-07-26 12:00:00,117776.10000000,118220.00000000,117772.13000000,118130.10000000,1303.59734000,1753545599999,153859195.95728980,155222,596.95661000,70460231.21172900,0
2025-07-26 16:00:00,118130.10000000,118297.35000000,117941.96000000,118232.11000000,1051.39337000,1753559999999,124173515.19992870,110349,556.03714000,65676327.54099610,0
2025-07-26 20:00:00,118232.11000000,118276.66000000,117883.86000000,117919.99000000,858.64895000,1753574399999,101349587.45095100,108749,343.44877000,40541358.64819870,0
2025-07-27 00:00:00,117919.99000000,118358.18000000,117825.50000000,118182.83000000,1007.50696000,1753588799999,119027557.08593030,112389,575.64347000,68009812.95415000,0
2025-07-27 04:00:00,118182.83000000,118438.83000000,118066.74000000,118095.95000000,808.21213000,1753603199999,95561585.86911340,104278,390.89967000,46221367.12602860,0
2025-07-27 08:00:00,118095.95000000,118292.86000000,117859.98000000,118072.71000000,835.96960000,1753617599999,98708410.16136550,120595,388.89313000,45917656.82305550,0
2025-07-27 12:00:00,118072.71000000,118588.00000000,117890.00000000,118585.74000000,1586.05165000,1753631999999,187626934.03330280,182821,894.22688000,105793419.62169720,0
2025-07-27 16:00:00,118585.75000000,119540.01000000,118585.75000000,118960.00000000,3418.37234000,1753646399999,407360766.69086950,354026,2213.46507000,263777127.92719770,0
2025-07-27 20:00:00,118960.01000000,119766.65000000,118713.74000000,119415.55000000,1672.19651000,1753660799999,199598288.32021670,220971,775.17536000,92542176.79859870,0
2025-07-28 00:00:00,119415.56000000,119800.00000000,118960.50000000,119287.99000000,1824.53168000,1753675199999,217797781.98470390,289119,835.00751000,99693864.72561300,0
2025-07-28 04:00:00,119287.99000000,119701.07000000,118774.31000000,118900.00000000,2360.06220000,1753689599999,281402696.38436020,233844,1325.92556000,158105257.64512300,0
2025-07-28 08:00:00,118900.01000000,119102.69000000,118475.47000000,118827.49000000,2060.18220000,1753703999999,244734013.26132420,212608,1199.17319000,142442771.81538390,0
2025-07-28 12:00:00,118827.49000000,119093.68000000,117895.73000000,118174.90000000,3792.61028000,1753718399999,449216545.14388690,519386,1973.63361000,233868099.64591840,0
2025-07-28 16:00:00,118174.89000000,118376.61000000,117427.50000000,118068.73000000,2575.55527000,1753732799999,303595815.91548300,339420,1162.08076000,137000465.18141000,0
