Date,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,MA_20,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,ATR_14,Return,High_Low,Open_Close,UpperShadow,LowerShadow,Hour,Weekday,Volume_MA20,Volume_Change,VWAP,VWAP_20
2025-08-01 08:00:00,115081.76,115340.0,114116.0,115305.65,3338.52917,383326052.9600484,463102,1553.96108,178459723.0896099,,115305.65,,,,,,,0.0,0.0,0.0,,,1224.0,223.88999999999942,34.35000000000582,965.7599999999948,8,4,,,114920.55,
2025-08-01 12:00:00,115305.64,116019.3,113988.47,115357.82,5325.96286,613558143.1486454,1084066,2524.8382,291034014.4216778,,115333.03925000002,,,,,,,1.1704807692440227,0.650267094024457,0.5202136752195656,,0.00045244964145307875,2030.8300000000017,52.18000000000757,661.4799999999959,1317.1699999999983,12,4,,0.5953021791329742,115044.29497348993,
2025-08-01 16:00:00,115357.82,115695.52,113221.93,113328.68,4135.47502,472437940.42125183,924319,1966.1562,224637144.4657731,,114597.05054954207,,,,,,,-61.43208515782317,-24.79331989443768,-36.63876526338549,,-0.01758996485890607,2473.590000000011,-2029.140000000014,337.6999999999971,106.75,16,4,,-0.2235253739640235,114733.40607781723,
2025-08-01 20:00:00,113328.67,114094.08,112722.58,113297.93,3294.30196,373558787.49975586,628176,1573.88376,178528816.2353568,,114222.0145330424,,,,,,,-89.50963197853707,-46.71618984162582,-42.79344213691125,,-0.0002713346700941033,1371.5,-30.74000000000524,765.4100000000035,575.3499999999913,20,4,,-0.2034042173950793,114454.64653740921,
2025-08-02 00:00:00,113297.92,113921.94,113198.63,113909.86,1422.97261,161699096.2008179,346530,710.60713,80745020.2657174,,114146.50700787686,,,,,,,-78.53204487317998,-56.18068741169785,-22.35135746148213,,0.005401069551756121,723.3099999999977,611.9400000000023,12.080000000001746,99.2899999999936,0,5,,-0.5680503404733426,114391.46078523422,
2025-08-02 04:00:00,113909.87,114063.49,113469.43,113982.49,1674.39001,190562803.0443968,227553,838.67346,95432539.1181906,,114111.90691108581,,,,,,,-67.35118359605258,-59.208512945231426,-8.142670650821152,,0.0006376094220466033,594.0600000000122,72.6200000000099,81.0,440.4400000000023,4,5,,0.1766846376614375,114343.21464002524,
2025-08-02 08:00:00,113982.49,114040.29,113425.58,113787.12,1135.36227,129100147.2977649,222031,456.36308,51889678.5298969,,114050.49774526349,,,,,,,-67.87127786721976,-61.40082764544793,-6.470450221771827,,-0.0017140351996171033,614.7099999999919,-195.3700000000099,57.79999999998836,361.5399999999936,8,5,,-0.32192484234900565,114310.1363626432,
2025-08-02 12:00:00,113787.11,113787.12,112802.31,112840.71,1922.72871,217838216.012316,320277,761.89323,86333566.2430068,,113841.37985456533,,,,,,,-112.13981551317556,-73.59436057694121,-38.54545493623435,,-0.008317373706268283,984.8099999999977,-946.3999999999942,0.00999999999476131,38.40000000000873,12,5,,0.6934935754030296,114209.31011885799,
2025-08-02 16:00:00,112840.7,113420.0,112003.0,112229.42,3414.70659,384611629.97070754,639368,1372.4614,154627663.1063482,,113582.81361179364,,,,,,,-171.4170123032818,-96.19187842640362,-75.22513387687819,,-0.005417282468357487,1417.0,-611.2799999999988,579.3000000000029,226.41999999999825,16,5,,0.7759690029281352,113988.6427265072,
2025-08-02 20:00:00,112229.42,113058.82,112069.86,112546.35,1937.17409,218070844.80071887,409955,920.01005,103557915.8085714,,113426.73117264283,,,,,,,-194.6478859432973,-118.2517394735806,-76.3961464697167,,0.0028239475887874566,988.9600000000064,316.93000000000757,512.4700000000012,159.55999999999767,20,5,,-0.4326967664885082,113888.25946629263,
